adt_2025_drop_all_minus1.csv 변수 설명
형식: 원래 변수명: 변수의 의미
총 컬럼 수: 455

YEAR: 조사연도
PAIDLESS: 상황별발생빈도3:동일한일을하고도여성이남성보다적은임금을받는경우
EXASXHAR: 상황별발생빈도4:여성이직장에서성희롱을과장해서보고하는경우
PROTCTWM: 여성에대한인식1:여성은남성에의해보호받아야한다
BETSENSE: 여성에대한인식2:여성은남성에비해옳고그름에대한감각이더뛰어난경향이있다
RELATE: 응답자와의관계
AWAY: 응답자동거여부
RELATE2: 가구원2:응답자와의관계
GENDER2: 가구원2:성별
OLD2: 가구원2:연령(만)
MAR2: 가구원2:혼인상태
AWAY2: 가구원2:동거여부
WHYAWY2: 가구원2:(비동거시)사유
EMPLY2: 가구원2:취업여부
WHYNOE2: 가구원2:(미취업시)사유
RELATE3: 가구원3:응답자와의관계
GENDER3: 가구원3:성별
OLD3: 가구원3:연령(만)
MAR3: 가구원3:혼인상태
AWAY3: 가구원3:동거여부
WHYAWY3: 가구원3:(비동거시)사유
EMPLY3: 가구원3:취업여부
WHYNOE3: 가구원3:(미취업시)사유
RELATE4: 가구원4:응답자와의관계
GENDER4: 가구원4:성별
OLD4: 가구원4:연령(만)
MAR4: 가구원4:혼인상태
AWAY4: 가구원4:동거여부
WHYAWY4: 가구원4:(비동거시)사유
EMPLY4: 가구원4:취업여부
WHYNOE4: 가구원4:(미취업시)사유
RELATE5: 가구원5:응답자와의관계
GENDER5: 가구원5:성별
OLD5: 가구원5:연령(만)
MAR5: 가구원5:혼인상태
AWAY5: 가구원5:동거여부
WHYAWY5: 가구원5:(비동거시)사유
EMPLY5: 가구원5:취업여부
WHYNOE5: 가구원5:(미취업시)사유
RELATE6: 가구원6:응답자와의관계
GENDER6: 가구원6:성별
OLD6: 가구원6:연령(만)
MAR6: 가구원6:혼인상태
AWAY6: 가구원6:동거여부
EMPLY6: 가구원6:취업여부
WHYNOE6: 가구원6:(미취업시)사유
HHWHO: 가구주가구원번호
HDHEAD: 가구주 여부
HHSEX: 가구주 성별
HHAGE: 가구주 연령(만)
HHMARI: 가구주 혼인상태
HHAWAY: 가구주 동거여부
HHWHYAWY: 가구주 비동거 사유
HHEMPLY: 가구주 취업여부
HHWHYNOE: 가구주 미취업 사유
HHDNO: 가구주 가구원번호
HOMPOP: 동거가족수(응답자포함,별거가족제외)
SEPAPOP: 별거가족수
UNRELAT: 가족아닌동거인수
REGION: 조사지역
URBAN: 도시규모/동읍면 구분
SAMPLEAB: 표본유형(A/B)
INTDATM: 조사월
INTDATD: 조사일



| 변수명 | 점검 결과 |
  |---|---|
  | GIVEPIFR | 맞음. 원척도 1=매우 동의, 5=매우 반대 |
  | GIVEPIPC | 맞음. 원척도 1=매우 동의, 5=매우 반대 |
  | GIVEPIFR_R | 맞음. 역코딩 후 1=매우 반대, 5=매우 동의 |
  | GIVEPIPC_R | 맞음. 역코딩 후 1=매우 반대, 5=매우 동의 |
  | GIVEPIFR_agree | 맞음. 원척도 1 또는 2를 제공 동의 1로 코딩 |
  | GIVEPIPC_agree | 맞음. 원척도 1 또는 2를 제공 동의 1로 코딩 |
  | INCOME | 맞음. 월평균 가구소득 범주형 |
  | INCOM0 | 맞음. 월평균 가구소득 원자료/연속형. 단위는 만원 |
  | RANK | 맞음. 1=최하층, 10=최상층 |
  | SATFIN | 맞음. 1=매우 만족, 5=매우 불만족 |
  | FINPROS | 맞음. 1=상당히 좋아질 것이다, 5=상당히 나빠질 것이다 |
  | AGE | 수정 필요. 7개 범주가 아니라 실제 연령값입니다. 예: 20세, 21세, ..., 80세 등 |
  | SEX | 맞음. 1=남자, 2=여자 |
  | EDUC | 수정 필요. 9개 범주라고 해도 되지만 정확히는 0=무학, 1=초등학교, ..., 7=박사과정, 8=서당한학입니다. 88=DK/Refusal도 있음 |
  | ABLITINF | 맞음. 1=매우 높음, 5=매우 낮음 |
  | TECHHARM_R | 방향 맞음. 원변수 TECHHARM은 1=매우 동의, 5=매우 반대; 역코딩 후 값이 높을수록 “기술은 이익보다 해를 더 많이 끼친다”에 더 동의 |
  | FINALWT | 맞음. 최종 가중치 |
